college_id,college_name,review_text,rating,source_year,source,review_id
119,Galgotias University - [GU],"The civil department is very good in this college and faculty member are well and good traine faculty members are their way of teaching is very good and every student easily understand the things of the facult what they teach .Life at the campus is very good so many extra calcular activities are happening like tarang ,snarachana ,technofest ,and sports fest ,in DJ nights and some singer also come in the college for the performance.",3.1,2021,kaggle,4
118,Heritage Institute of Technology - [HIT],"The name of the annual fest is Eclecia and the name of the tech fest is Dakshh. But no fest is conducted since covid pandemic and some unfortunate causes. So, till now I am not able to experience that.
The Library is very big and every book is present, what one needs in their academic journey.
The interdepartmental sports week is conducted every year and the sports teams are very active inside as well as outside of the college.
There are some cultural clubs like Anubhav(drama), Pravasana(photography), Resonance (Music), etc present in college. Technical clubs like Geeks, gaming are also present.I like the course and this course has a very vast field in academics as well as in jobs. 
The faculty-student ratio is perfect. Like they assign every faculty for 15 students.
All faculties are highly educated. Most of them teach very well and everyone has a unique method.
The exam should happen after 4.5 months. They notify every student for 1 month.  The difficulty is pretty moderate, which means if you understand the module then you'll pass.",3.85,2021,kaggle,25
84,Vellore Institute of Technology - [VIT],"The fee structure is decided based on our Rank in the University entrance test, there 5 categories of seat fee structure that will vary for each category. One scholarship will be provided by the college for students whose annual income is less than 100000.Life in VIT  is very good, here we can experience many events and fests conducted by various clubs and management. Here there are so many clubs for students, they can join any club based on their interests. The annual programs are held every year.",4.35,2021,kaggle,28
96,Kalinga Institute of Industrial Technology - [KIIT],"KIIT provides internships from the sixth semester and companies like Highradius provide internships for the students in kiit where we can learn new and different things and can organize them and build a good resume. There are training and internship through which we can learn new things and can expose to a cooperative world.In  KIIT after the sixth sem, we are eligible for campus placement. In KIIT many big MNCs come for the placement and students can apply to them for an internship and after that, we will get PPO. Many students get placed at the end and the placement of kiit is very good and there is placement assurance for all students.",4.25,2021,kaggle,93
36,National Institute of Technology - [NITP],"College is very good from every point of view, It conducts its annual fest tech fest and many other events, and there are so many clubs that conduct events and make college life memorable. One will create so many memories in this college life. The only thing which I feel low about is the size of the campus. 40 acres of campus is a little small for a large infrastructure college.
The sports festival is also celebrated every year. In sports festivals it conducts itramurals means inter-departmental, inter nit means all NITs participate in that.
And almost every club is run by students like the tesla club, robotics club, music, dance, etc.The fees of NIT Patna is not so low not so high. It is that much that one middle-class family can afford it.
And if that much is difficult to pay then there are so many financial assistance. Like family income categorized. If family income is less than 1 Lakh then the student need not pay the tuition fees, if family income is 1-5 Lakh then the student needs to pay only one-third of the tuition fees and if income exceeds 5 Lakh then he/she will have to pay the entire fee.
The college also provides some scholarships.",4.4,2021,kaggle,97
84,Vellore Institute of Technology - [VIT],"I have chosen this course completely based on my interest. Here VIT offers a very good curriculum and has to complete a minimum of 162 credits in 4 years while coming to the faculty here we have a 30:1 ratio, here all facilities have Ph.D. in their respective course, and very good teaching. Exams are conducted for 1?? month once.Yearly mainly 2 fests will be conducted at my university those are called technovit and Vibrance. On campus, there is a very big library with 4 floors and a number of books there. Classrooms are very good here and every classroom is provided with a projector, here we have so many clubs.",4.15,2021,kaggle,111
84,Vellore Institute of Technology - [VIT],"I chooses this course beach I got it in counseling.
The faculty-student ratio is 1:30.
Qualification of the teacher is a minimum Ph.D. and very good teaching.
For every 40 days, there is a mid-exam.
And after four days of Mid 2, we get the semester examination.There will be no fee hike for tuition fees and there is a nearly 10 percent hike for hostel fees. Many scholarships are provided by the shri raja Rajeswari scholarship and we can get up to 50000 refunds of tuition fees.",4.2,2021,kaggle,115
36,National Institute of Technology - [NITP],"1. Annual fest - corona melange is conducted in March. Tech Fest - eccentric is conducted in November.
2. There are many books available that are necessary for engineering and some of them are very old. Journals are available up to date.
3. Many ac rooms are available with proper desk arrangement and also projectors are available in classrooms. Also, smart classes are provided.
4. The cricket ground, basketball court, table tennis court, badminton court, and gym for boys and girls separately are available inside the campus. Intra nit are held on my campus are various activities are held.
5.  Social groups like Sankalp and Many more clubs are held by students just as the robotics club, tesla club, and IEEE club.1. Fees while the policy is Other - total fees is 166000 per year, Reserved Cota just like SC, ST - total fee is approx 60000. And cost to study is also able to lower-class families because here many more opportunities are given just as a student can get a loan for the fees of college and also a student can get a scholarship.
2. Many more scholarships just one is minority 1. and currently I am a second-year student so I haven't got a job on campus.",3.65,2021,kaggle,118
84,Vellore Institute of Technology - [VIT],The fee structure is basically for the 1st category course fee it is 198000 for 1st year and for the 2nd category it is 320000 again we will have you pay the hostel and mess fee separately and this will be 120000 overall for a year it is about 5lakhs including our expenses.There will be many events and there will be fests in college which will be very nice and we can enjoy college fests as much as we want. It will be super in college. There will be many sports and there will be different clubs that we can join which we want.,4.25,2021,kaggle,119
105,Delhi Technological University - [DTU],"Our annual fest is well-praised in Delhi and known as the best cultural fest in North India. There are various scholarship learning opportunities and interactive sessions organized by organizing committees with entrepreneurs and new talents. There are many cash prizes to motivate the students to take part in competitions and give their best. Our tech fest is also well-praised and organizes seminars, hackathons, interactive sessions, and many more opportunities.
The library building is separately built and consists of two floors with centralized AC and each floor is assigned to various courses available at the college. You can find almost every book related to your course and is easy to find because of their office library website and can be issued for a semester. The classrooms are well constructed and each department has its classrooms in the departmental building. The sports campus is huge with three tennis courts, one football court, one cricket ground, and two basketball courts.The fee is about 219000/year and increases by about 10000 each year. The facilities are quite good with AC classrooms, good labs, research opportunities, and many more. You can avail of various scholarships with your good grades. If you are having a poor financial background so the government also provides scholarships based on the yearly income of your household such as merit scholarships by the Delhi government applied only to tuition fees. The college also provides a 100 percent scholarship if your family is financially weak (economically weaker section) on the total fees. You cannot avail of more than one scholarship.",4.1,2021,kaggle,120
